PAR,1,2,64,3631690
LIN,1,2,1,192
PAR,2,2,64,17708
LIN,2,2,1,59
PAR,3,2,64,21082
LIN,3,2,1,558
PAR,4,3,64,11057
LIN,4,3,1,201
PAR,5,4,64,19856
LIN,5,4,1,350
PAR,6,5,64,20882
LIN,6,5,1,632
PAR,7,20,64,3942046
LIN,7,20,1,7642225
PAR,8,21,64,901917
LIN,8,21,1,13725392
PAR,9,25,64,5175955
LIN,9,25,1,208312683
PAR,10,21,64,1377056
LIN,10,21,1,15603271
PAR,11,30,64,212522139
LIN,11,30,1,8017376907
PAR,12,21,64,1877816
LIN,12,21,1,20407469
PAR,13,39,64,70322093511
PAR,22,2,64,38593
LIN,22,2,1,193
PAR,23,4,64,30633
LIN,23,4,1,340
PAR,24,5,64,37805
LIN,24,5,1,488
PAR,25,8,64,72816
LIN,25,8,1,2228
PAR,26,9,64,72410
LIN,26,9,1,4585
PAR,27,12,64,92845
LIN,27,12,1,32006
PAR,28,10,64,70889
LIN,28,10,1,9029
PAR,29,12,64,93590
LIN,29,12,1,31044
PAR,30,16,64,291386
LIN,30,16,1,502030
PAR,31,18,64,262839
LIN,31,18,1,1900803
PAR,32,18,64,293806
LIN,32,18,1,2012230
PAR,33,21,64,578196
LIN,33,21,1,15071091
PAR,34,24,64,3331866
LIN,34,24,1,105018449
PAR,35,26,64,10541825
LIN,35,26,1,414697110
PAR,36,28,64,37076266
LIN,36,28,1,1651764620
PAR,37,29,64,69057737
LIN,37,29,1,3360351613
PAR,38,27,64,16905310
LIN,38,27,1,826769257
PAR,39,29,64,64391332
LIN,39,29,1,3301361964
PAR,40,31,64,246727261
LIN,40,31,1,13732576689
PAR,41,34,64,2065586200
LIN,41,34,1,107081853715
PAR,42,35,64,4494908045
PAR,43,36,64,7936542807
PAR,44,40,64,115131982424
PAR,45,39,64,70804368294
PAR,46,42,64,516775826171
PAR,47,43,64,1139067948753
PAR,48,43,64,925528463838
PAR,49,41,64,295703041865
PAR,50,40,64,129361105908
PAR,1,2,64,23422
LIN,1,2,1,197
PAR,2,2,64,37443
LIN,2,2,1,55
PAR,3,2,64,13509
LIN,3,2,1,349
PAR,4,3,64,34738
LIN,4,3,1,307
PAR,5,4,64,28775
LIN,5,4,1,402
PAR,6,5,64,50173
LIN,6,5,1,610
PAR,7,20,64,472014
LIN,7,20,1,8184295
PAR,8,21,64,749435
LIN,8,21,1,13797612
